country,year,country_code,record,crop_land,grazing_land,forest_land,fishing_ground,built_up_land,carbon,total,QScore
Afghanistan,1986,2,BiocapPerCap,0.347168932,0.513846372,0.052990538,0,0.022472572,0,0.936478415,3A
Albania,1986,3,BiocapPerCap,0.479516781,0.174495685,0.314099294,0.078374492,0.029997615,0,1.076483867,3A
Algeria,1986,4,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,0.69304779,2A
Angola,1986,7,BiocapPerCap,0.106648609,2.748831761,1.271565836,0.50238332,0.01273077,0,4.642160295,3A
Antigua and Barbuda,1986,8,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,1.240073243,2B
Argentina,1986,9,BiocapPerCap,1.510751021,2.307441752,1.089725451,2.262788115,0.063706934,0,7.234413273,3A
Australia,1986,10,BiocapPerCap,2.156767538,9.984018701,3.014130584,4.672620345,0.039679267,0,19.86721643,3A
Austria,1986,11,BiocapPerCap,0.756094251,0.180600994,2.246627041,0.00329964,0.146874372,0,3.333496298,3A
Bahamas,1986,12,BiocapPerCap,0.045111515,0.00385284,1.843716449,13.08655247,0.028970569,0,15.00820385,3A
Bahrain,1986,13,BiocapPerCap,0.020691743,0,0.000680342,1.429067586,0.066467051,0,1.516906721,3A
Barbados,1986,14,BiocapPerCap,0.173626031,0.003588642,0.021007606,0.048852994,0.059274087,0,0.30634936,3A
Bangladesh,1986,16,BiocapPerCap,0.254937888,0.005480006,0.007861452,0.088121022,0.039768258,0,0.396168625,3A
Bermuda,1986,17,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,0.139779049,2B
Bhutan,1986,18,BiocapPerCap,0.463959568,0.365886279,5.875238596,0.021253709,0.178703083,0,6.905041235,3A
Bolivia,1986,19,BiocapPerCap,0.282808079,3.665697093,25.95257457,0.089338275,0.034634555,0,30.02505257,3A
Botswana,1986,20,BiocapPerCap,0.086644861,4.130860028,1.270032754,0.453077867,0.014169641,0,5.954785152,3A
Brazil,1986,21,BiocapPerCap,0.65517036,1.321492866,10.7849379,0.248191787,0.057382338,0,13.06717525,3A
Aruba,1986,22,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,0.950474753,2B
Brunei Darussalam,1986,26,BiocapPerCap,0.018947211,0.029272634,3.000053575,2.257411422,0.02307562,0,5.328760462,3A
Bulgaria,1986,27,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,2.449469231,2A
Myanmar,1986,28,BiocapPerCap,0.469948338,0.008013152,0.994513756,0.402635101,0.053361741,0,1.928472088,3A
Burundi,1986,29,BiocapPerCap,0.481322524,0.229659669,0.020748933,0.016455537,0.045008205,0,0.793194868,3A
Cameroon,1986,32,BiocapPerCap,0.472486481,0.20313048,2.4025178,0.164748646,0.023954804,0,3.26683821,3A
Canada,1986,33,BiocapPerCap,2.987918061,0.40862293,12.18058807,4.609978419,0.049183421,0,20.2362909,3A
Cabo Verde,1986,35,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,0.904381311,2B
Central African Republic,1986,37,BiocapPerCap,0.3805211,0.908954361,11.88966157,0,0.025775746,0,13.20491277,3A
Sri Lanka,1986,38,BiocapPerCap,0.319882806,0.025579017,0.060784899,0.087836459,0.060291043,0,0.554374224,3A
Chad,1986,39,BiocapPerCap,0.278798243,2.772156742,1.256813895,0.175279018,0.02350778,0,4.506555677,3A
Chile,1986,40,BiocapPerCap,0.373517979,0.598103221,2.792070023,0.545550586,0.042580294,0,4.351822104,3A
Colombia,1986,44,BiocapPerCap,0.339853488,1.774375641,3.48619032,0.104745472,0.057603979,0,5.762768901,3A
Comoros,1986,45,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,0.502813269,2B
Congo,1986,46,BiocapPerCap,0.16682974,6.173274423,14.77855994,0.712106334,0.021030174,0,21.85180061,3A
Costa Rica,1986,48,BiocapPerCap,0.517881595,0.857965667,1.029473608,0.207120121,0.080088813,0,2.692529804,3A
Cuba,1986,49,BiocapPerCap,0.389376779,0.103475935,0.205868342,0.173835715,0.033495061,0,0.906051833,3A
Cyprus,1986,50,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,0.590952808,2B
Czechoslovakia,1986,51,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,2.412009144,2B
Benin,1986,53,BiocapPerCap,0.359353731,0.077470787,1.0512717,0.052067806,0.024007381,0,1.564171405,3A
Denmark,1986,54,BiocapPerCap,2.259396267,0.009384061,0.401871439,2.006613128,0.204912347,0,4.882177243,3A
Dominica,1986,55,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,1.213635816,2B
Dominican Republic,1986,56,BiocapPerCap,0.336971389,0.175604257,0.144228021,0.038319261,0.036476391,0,0.73159932,3A
Ecuador,1986,58,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,3.777047321,2B
Egypt,1986,59,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,0.380702269,2B
El Salvador,1986,60,BiocapPerCap,0.344689193,0.168795704,0.073790464,0.142946693,0.056792981,0,0.787015035,3A
Equatorial Guinea,1986,61,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,9.632711442,2A
Ethiopia PDR,1986,62,BiocapPerCap,0.210689289,0.481913924,0.128904179,0.214459576,0.029917022,0,1.065883991,3A
Fiji,1986,66,BiocapPerCap,0.49117825,0.096166176,1.509703135,0.808660702,0.076136559,0,2.981844821,3A
Finland,1986,67,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,14.03876366,2A
France,1986,68,BiocapPerCap,1.22743957,0.198051944,1.047102263,0.130477401,0.128215231,0,2.731286409,3A
French Polynesia,1986,70,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,1.476029558,2B
Djibouti,1986,72,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,1.0491672,2A
Gabon,1986,74,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,49.87224171,2A
Gambia,1986,75,BiocapPerCap,0.451405899,0.231829101,0.44710724,0.758851075,0.054022123,0,1.943215437,3A
Germany,1986,79,BiocapPerCap,0.672234412,0.061541296,0.689208933,0.078220395,0.107891049,0,1.609096085,3A
Ghana,1986,81,BiocapPerCap,0.376478544,0.50853269,0.524182183,0.118369631,0.038944257,0,1.566507304,3A
Greece,1986,84,BiocapPerCap,1.132598552,0.168779656,0.229510516,0.193815405,0.054550184,0,1.779254314,3A
Guadeloupe,1986,87,BiocapPerCap,0.195944473,0.036857304,0.175654498,0.231417009,0.003237104,0,0.643110388,3A
Guatemala,1986,89,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,1.55541537,2A
Guinea,1986,90,BiocapPerCap,0.354382795,1.676417701,1.582159006,0.679095241,0.020123999,0,4.312178742,3A
Guyana,1986,91,BiocapPerCap,0.504921419,1.594965718,62.0241492,5.414018068,0.039967258,0,69.57802166,3A
Haiti,1986,93,BiocapPerCap,0.277650551,0.052445049,0.015323023,0.019049237,0.031799066,0,0.396266926,3A
Honduras,1986,95,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,3.790707814,2B
Hungary,1986,97,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,2.472278692,2A
India,1986,100,BiocapPerCap,0.320912846,0.006111701,0.031538172,0.046376336,0.02835571,0,0.433294766,3A
Indonesia,1986,101,BiocapPerCap,0.356599056,0.093603007,0.563095703,0.570187385,0.04721558,0,1.630700732,3A
"Iran, Islamic Republic of",1986,102,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,1.009890123,2A
Iraq,1986,103,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,0.402980423,2A
Ireland,1986,104,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,4.192655061,2A
Israel,1986,105,BiocapPerCap,0.300737225,0.013461434,0.04654782,0.030068043,0.05574867,0,0.446563193,3A
Italy,1986,106,BiocapPerCap,0.593535586,0.047364203,0.338485292,0.065645495,0.052782187,0,1.097812763,3A
Côte d'Ivoire,1986,107,BiocapPerCap,0.828508198,1.089516874,0.912338687,0.078939638,0.054029247,0,2.963332645,3A
Jamaica,1986,109,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,0.484185069,2A
Japan,1986,110,BiocapPerCap,0.151787398,0.010616742,0.364505243,0.105324024,0.079052486,0,0.711285892,3A
Jordan,1986,112,BiocapPerCap,0.078994864,0.044458385,0.061470873,0.006856665,0.023354193,0,0.21513498,3A
Kenya,1986,114,BiocapPerCap,0.335881543,0.508720479,0.039549338,0.039988826,0.036036985,0,0.960177172,3A
Cambodia,1986,115,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,1.152142543,2B
"Korea, Democratic People's Republic of",1986,116,BiocapPerCap,0.384298769,0.001952132,0.414250226,0.123993845,0.074244339,0,0.998739311,3A
"Korea, Republic of",1986,117,BiocapPerCap,0.2315793,0.001439037,0.115062231,0.483688675,0.065846832,0,0.897616075,3A
Lao People's Democratic Republic,1986,120,BiocapPerCap,0.331082033,0.262373855,1.349863586,0.058601436,0.07453652,0,2.076457429,3A
Lebanon,1986,121,BiocapPerCap,0.209962318,0.059458396,0.092895846,0.012861793,0.035907267,0,0.41108562,3A
Lesotho,1986,122,BiocapPerCap,0.090282342,1.026114964,0.002880015,0,0.012201612,0,1.131478932,3A
Liberia,1986,123,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,5.358065693,2A
Libyan Arab Jamahiriya,1986,124,BiocapPerCap,0.219940648,0.356810905,0.029318291,0.399069282,0.015904852,0,1.021043978,3A
Madagascar,1986,129,BiocapPerCap,0.372576305,2.519452762,1.880099018,0.465671149,0.048545189,0,5.286344424,3A
Malawi,1986,130,BiocapPerCap,0.356219897,0.158029874,0.058414864,0.11760256,0.034155119,0,0.724422314,3A
Malaysia,1986,131,BiocapPerCap,0.867551265,0.033450444,1.349465098,1.55680692,0.06578729,0,3.873061017,3A
Mali,1986,133,BiocapPerCap,0.344230713,1.161054679,0.630774871,0.093162253,0.064992322,0,2.294214838,3A
Malta,1986,134,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,0.697359354,2B
Martinique,1986,135,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,0.506703383,2B
Mauritania,1986,136,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,9.430478198,2A
Mauritius,1986,137,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,0.975718713,2B
Mexico,1986,138,BiocapPerCap,0.441781631,0.374860213,0.728310468,0.215636274,0.047356659,0,1.807945245,3A
Mongolia,1986,141,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,24.45576827,2A
Morocco,1986,143,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,1.035197388,2A
Mozambique,1986,144,BiocapPerCap,0.209349354,1.881653455,1.321654533,0.327014398,0.035973911,0,3.775645651,3A
Nepal,1986,149,BiocapPerCap,0.272273946,0.078397469,0.120973129,0.009057559,0.046815102,0,0.527517204,3A
Netherlands,1986,150,BiocapPerCap,0.278074135,0.056381778,0.077682597,0.496344637,0.074673873,0,0.98315702,3A
New Zealand,1986,156,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,14.07249932,2B
Nicaragua,1986,157,BiocapPerCap,0.343336277,0.702066458,1.911995174,0.78311783,0.032808501,0,3.773324241,3A
Niger,1986,158,BiocapPerCap,0.552680449,0.942036162,0.202664397,0.001562065,0.01583486,0,1.714777932,3A
Nigeria,1986,159,BiocapPerCap,0.366985103,0.223783599,0.076273937,0.037108643,0.023787095,0,0.727938377,3A
Norway,1986,162,BiocapPerCap,0.359256851,0.675214922,4.363211331,3.712757431,0.052139509,0,9.162580045,3A
Pakistan,1986,165,BiocapPerCap,0.363608973,0.007421449,0.026481077,0.068327556,0.026403784,0,0.49224284,3A
Panama,1986,166,BiocapPerCap,0.252628189,0.687879946,3.4750945,1.030668952,0.033211318,0,5.479482905,3A
Papua New Guinea,1986,168,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,6.918115995,2A
Paraguay,1986,169,BiocapPerCap,0.949904112,3.499177165,15.01587761,0.092695011,0.0653308,0,19.62298469,3A
Peru,1986,170,BiocapPerCap,0.21725467,0.631756363,4.436449752,0.309416681,0.043322774,0,5.63820024,3A
Philippines,1986,171,BiocapPerCap,0.382518681,0.022305233,0.139997542,0.118957852,0.042053203,0,0.705832512,3A
Poland,1986,173,BiocapPerCap,1.07740676,0.072223364,0.768741965,0.111475496,0.076473674,0,2.106321259,3A
Portugal,1986,174,BiocapPerCap,0.360871633,0.073790168,0.882921107,0.077160184,0.02263765,0,1.417380742,3A
Guinea-Bissau,1986,175,BiocapPerCap,0.382051048,0.654073445,0.684313419,3.290606082,0.043117139,0,5.054161133,3A
Timor-Leste,1986,176,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,3.094321896,2A
Qatar,1986,179,BiocapPerCap,0.021129143,0.000467549,0,6.140583293,0.035490624,0,6.19767061,3A
Zimbabwe,1986,181,BiocapPerCap,0.402372546,0.402610835,0.288232477,0.016141455,0.053285016,0,1.16264233,3A
Réunion,1986,182,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,0.265315575,2B
Romania,1986,183,BiocapPerCap,1.003508562,0.099720421,1.014140093,0.078428649,0.126781169,0,2.322578895,3A
Rwanda,1986,184,BiocapPerCap,0.461615801,0.158292401,0.017113928,0.009657734,0.043704395,0,0.690384259,3A
Saint Lucia,1986,189,BiocapPerCap,0.397594797,0.007163276,0.145102244,0.202294167,0.003394031,0,0.755548516,3A
Sao Tome and Principe,1986,193,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,1.63687572,2B
Saudi Arabia,1986,194,BiocapPerCap,0.245553369,0.145358847,0.111451769,0.37060623,0.076084754,0,0.949054968,3A
Senegal,1986,195,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,2.270764911,2A
Sierra Leone,1986,197,BiocapPerCap,0.271553709,0.550458824,0.318376392,0.348470159,0.055638042,0,1.544497126,3A
Singapore,1986,200,BiocapPerCap,0.003005736,0,0.004800225,0.026356531,0.011937957,0,0.046100449,3A
Somalia,1986,201,BiocapPerCap,0.133182388,0.850280715,0.393216545,0.503009941,0.048819619,0,1.928509207,3A
South Africa,1986,202,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,1.545576712,2A
Spain,1986,203,BiocapPerCap,0.813514172,0.138965078,0.38041516,0.070722537,0.02601546,0,1.429632407,3A
Sudan (former),1986,206,BiocapPerCap,0.331570435,2.034441788,0.748812563,0.236816921,0.026046353,0,3.377688061,3A
Eswatini,1986,209,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,1.581467321,2A
Sweden,1986,210,BiocapPerCap,0.988789506,0.364385928,7.567227877,2.530053613,0.145796659,0,11.59625358,3A
Switzerland,1986,211,BiocapPerCap,0.237074764,0.153331786,0.804473918,0.008084296,0.073435111,0,1.276399876,3A
Syrian Arab Republic,1986,212,BiocapPerCap,0.607477886,0.202466259,0.069351467,0.007084727,0.034458041,0,0.92083838,3A
"Tanzania, United Republic of",1986,215,BiocapPerCap,0.388965902,0.665489717,0.424076123,0.131490566,0.034867605,0,1.644889912,3A
Thailand,1986,216,BiocapPerCap,0.570841321,0.012619061,0.214872524,0.249827883,0.040890825,0,1.089051614,3A
Togo,1986,217,BiocapPerCap,0.311302451,0.239146114,0.15474267,0.043140167,0.014214293,0,0.762545695,3A
Tonga,1986,219,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,1.482963372,2B
Trinidad and Tobago,1986,220,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,1.843923251,2A
Oman,1986,221,BiocapPerCap,0.057040132,0.067438584,0.002432165,3.478069313,0.076578751,0,3.681558945,3A
Tunisia,1986,222,BiocapPerCap,0.369446682,0.095248208,0.044763743,0.347288137,0.018121642,0,0.874868411,3A
Turkey,1986,223,BiocapPerCap,1.044877237,0.127495992,0.837150218,0.064262105,0.03026223,0,2.104047782,3A
United Arab Emirates,1986,225,BiocapPerCap,0.051275789,0.005055027,0.315945502,2.89374826,0,0,3.266024579,3A
Uganda,1986,226,BiocapPerCap,0.503807051,0.35271324,0.050456752,0.102063334,0.030362997,0,1.039403374,3A
USSR,1986,228,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,4.375858318,2B
United Kingdom,1986,229,BiocapPerCap,0.588297981,0.135733773,0.127878264,0.343184173,0.150550825,0,1.345645016,3A
United States of America,1986,231,BiocapPerCap,1.458505466,0.361331608,1.965839493,0.405238749,0.057411605,0,4.248326922,3A
Burkina Faso,1986,233,BiocapPerCap,0.511200425,0.359217233,0.6554786,0.002896941,0.052983229,0,1.581776429,3A
Uruguay,1986,234,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,9.640343657,2B
"Venezuela, Bolivarian Republic of",1986,236,BiocapPerCap,0.219910983,0.957982569,2.873637935,0.409806493,0.02988339,0,4.491221371,3A
Viet Nam,1986,237,BiocapPerCap,0.274872914,0.007393263,0.167384164,0.229864474,0.05623664,0,0.735751455,3A
Samoa,1986,244,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,2.000579234,2B
Yugoslav SFR,1986,248,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,1.962738547,2B
Yemen,1986,249,BiocapPerCap,0.111302985,0.286656441,0.101859348,0.485725953,0.022092115,0,1.007636841,3A
"Congo, Democratic Republic of",1986,250,BiocapPerCap,0.287508996,0.692698613,5.649259533,0.100487946,0.051829265,0,6.781784353,3A
Zambia,1986,251,BiocapPerCap,0.181131382,1.658881913,1.943458113,0.047646466,0.022532161,0,3.853650035,3A
Belgium,1986,255,BiocapPerCap,0.364196408,0.044580129,0.30902597,0.049469046,0.156167914,0,0.923439466,3A
Luxembourg,1986,256,BiocapPerCap,0.630355087,0.108056046,1.065106218,0.000892381,0.134580821,0,1.938990554,3A
China,1986,351,BiocapPerCap,0.385117917,0.119455934,0.220183776,0.055416495,0.074604881,0,0.854779003,3A